Filename,MFS 0,MFS 1,MFS 2,MFS 3,MFS 4,MFS 5,MFS 6,MFS 7,MFS 8,MFS 9,MFS 10,MFS 11,MFS 12,MFS 13,MFS 14,MFS 15,MFS 16,MFS 17,MFS 18,MFS 19
BA01_120_2Slices,0.71304925925356255,0.79719395379709901,0.81811601586556359,0.91169579485980001,0.98722931712201967,1.3920772290253001,1.8727734871979396,2.2306059435811378,2.7540324638540605,2.3889918430352215,2.2699981428952318,2.1085611500541694,1.9422988408457516,1.7705319210578663,1.5950458942662451,1.4148775078545321,1.2522662735459333,1.0481835051576045,0.78593039406642828,0.36239407988887662
BA02_120_2Slices,0.67395440266335571,1.0596231124037716,1.3838301055351268,1.6502688786091166,1.8694195450987643,2.0501270664767688,2.181431170415483,2.7831093106312585,2.3291599634029603,2.3357186730236004,2.3074513023943539,2.2312536872538336,2.1090570059955582,1.9427267782273114,1.736343546358021,1.4742439922285948,1.1763437934527872,0.89077203896222235,0.22656229053758833,0.20593245286821554
BA05_120_2Slices,1.280661948775208,1.2263319374840083,1.2733654971468178,1.3095203422298771,1.3355397523776349,1.3782498003140109,1.5210569284191067,1.9171342212262314,2.2472601835856505,2.7489155542913735,2.4021464212892885,2.2877353495733366,2.0847583496903068,1.8148707930731001,1.5116418700238756,1.1726597341009573,0.78836486014582807,0.47576451965610511,0.26017159533097989,0.12679075457476935
BA07_120_2Slices,1.049211968655601,1.0230890479902586,1.0809386827122418,1.1564029646329481,1.3689874025561903,1.8205070002359052,2.2011483508479466,2.7740266225496009,2.3807570708215047,2.2641421148000038,2.0941943500053299,1.9169203410362907,1.7372857306618239,1.5626944825410596,1.3778870192897081,1.2048983897663341,1.0337048649237612,0.84344103173872831,0.65214093897946634,0.45728604525785022
BA18_120_2Slices,0.7907126221995544,1.2866485409652977,1.7057008117738406,2.0227113863365718,2.2209949776905953,2.8112561854923039,2.335339772257703,2.295710165096867,2.2312319588842229,2.130998269233459,2.0159512498787726,1.8722656046804931,1.7208257807234943,1.5548043722160978,1.3858203643401443,1.1869957374163174,0.97368117167894463,0.75749308572224805,0.54832202922564677,0.14453100764693014
BA19_120_2Slices,1.2903944309213695,1.1386003433960092,1.1861108736270509,1.2240218807120504,1.2523977710144474,1.2888537790169834,1.3767627968108473,1.62808194036308,1.94875370764212,2.2032899273826287,2.8370251246302405,2.3635811077308619,2.2987541653121797,2.1537430894577052,1.9283713003627534,1.6347011409723859,1.295069760406194,0.90447237714884277,0.58241240295721763,0.19780645590467227
BA21_120_2Slices,0.45121814014380429,0.50707712386422488,0.84305782433356391,1.4617664143020133,1.9802363979252535,2.2695145245743737,2.8255148753830222,2.3379120503596593,2.2317654710754589,2.0768843653451072,1.8969709909694565,1.7051669168248709,1.5079548921322872,1.3248240446183543,1.1564446911730955,0.97429050711785781,0.78152483528551264,0.52817902329543398,0.30428789393347289,0.12593145076930576
BA22_120_2Slices,0.49675283646820911,0.77696088459962054,1.2482950961518751,1.6685343517514701,1.9748479883149703,2.1549993193811168,2.6865241101052089,2.2277429500780888,2.160210454564476,2.0285774222756019,1.8412886073499359,1.5925044043382324,1.3240933600383689,1.0800100469106617,0.87518008196380592,0.74613468119377491,0.61588917726351322,0.37339614171700936,0.0,0.18349692501295778
BA23_120_2Slices,0.65721714545028864,1.1206791072489695,1.4836160975302812,1.7751371042562532,2.0093186640702907,2.1827805744206641,2.8061726826141107,2.3415129526629785,2.3496871885360124,2.3112529456715838,2.2374312724036201,2.1120950546927797,1.9535725867138249,1.7559013669607673,1.5202645541723419,1.2518522127842879,0.95532484632064452,0.60835194855242092,0.35681838604098426,0.14453100764693014
BA24_120_2Slices,0.81109530250419271,1.2397063345090436,1.6207846895654585,1.9222123040031089,2.1339566097825422,2.7944564555547302,2.3174029525201916,2.314536782419919,2.2684284078678596,2.1724119544154714,2.0318605117701187,1.8641084946995676,1.6607859437530117,1.470543007288303,1.2581578864379646,1.0825910241278323,0.89245767738720494,0.719396449123205,0.37368790767320065,0.2326049304408529
